Sample #,Sample Type,Ass.day,PrePost,Run#,Vessel ,Treatment,Wood,Colony,Comments 
166,wood,,Post,3,6,Ambient,,OCM1,
167,wood,,Post,3,8,Ambient blank,,,
168,wood,0,Pre,,,Ambient,AssL1,,
169,wood,0,Pre,,,Ambient,AssL2,,
170,wood,0,Pre,,,Ambient,AssL3,,
171,wood,18,Post,,,Ambient,AssL1,,
172,wood,18,Post,,,Ambient,AssL2,,
173,wood,18,Post,,,Ambient,AssL3,,
174,wood,,Post,3,3,FACE,,OCM1,
175,wood,,Post,3,7,FACE blank,,,
176,wood,18,Post,,,FACE,F7,,
177,wood,18,Post,,,FACE,F8,,
178,wood,18,Post,,,FACE,F15,,
179,wood,,Post,2,2,FACE,,DW1,
180,wood,,Post,2,7,FACE blank,,,
181,guts,6,,,,Ambient,AssL3,,
182,wood,,Pre,1,4,FACE,F1,WH1,
183,wood,,Pre,1,5,FACE,F2,WH2b,
184,wood,,Pre,1,6,FACE,F3,WH2a,
185,wood,,Pre,1,8,FACE blank,F4,,
186,wood,,Pre,2,1,FACE,F12,WH3,
187,wood,,Pre,2,2,FACE,F10,DW1,
188,wood,,Pre,2,7,FACE blank,F9,,
189,wood,,Pre,3,3,FACE,F13,OCM1,
190,wood,,Pre,3,7,FACE blank,F11,,
191,wood,0,Pre,,,FACE,F7,,
192,wood,0,Pre,,,FACE,F8,,
193,wood,0,Pre,,,FACE,F15,,
