Day,Inj.#,Sample#,Run#,Vessel,Treatment,Colony,Time (hr),Comments (during injections)
27,17,97,1,4,F+T,WH1,72,
27,18,98,1,5,F+T,WH2b,72,Low; Re-run (no increase from last time-point)
27,19,99,1,6,F+T,WH2a,72,
27,20,100,2,1,F+T,WH3,72,
27,21,101,2,2,F+T,DW1,72,
27,22,102,3,3,F+T,OCM1,72,
27,23,103,1,4,F+T,WH1,88,Low; Re-run 
27,24,104,1,5,F+T,WH2b,88,
27,25,105,1,6,F+T,WH2a,88,
27,26,106,2,1,F+T,WH3,88,
27,27,107,2,2,F+T,DW1,88,
27,28,108,3,3,F+T,OCM1,88,Low; Re-run 
27,29,109,1,4,F+T,WH1,96,
27,30,110,1,5,F+T,WH2b,96,
27,31,111,1,6,F+T,WH2a,96,Low; Re-run 
27,32,112,2,1,F+T,WH3,96,"Used our 2.5 ml syringe (plunger slipped, felt weird)"
27,33,112,2,1,F+T,WH3,96,Re-run of  #112 with syringe in Joye lab (used in all other inj.) 
28,1,113,2,2,F+T,DW1,96,"LOWÉMaybe ""leveling off""? Need to plot termite dataÉ"
28,2,114,3,3,F+T,OCM1,96,
28,3,115,1,5,F+T,WH2b,112,LowÉ
28,4,116,1,6,F+T,WH2a,112,
28,5,117,2,1,F+T,WH3,112,LowÉ
28,6,118,2,2,F+T,DW1,112,
28,7,119,3,3,F+T,OCM1,112,LowÉ
28,8,65,2,2,F+T,WH2a,16,Re-run: CH4 still BD
28,9,95,2,2,F+T,DW1,64,Re-run: Higher :)
28,10,96,3,3,F+T,OCM1,64,Re-run: Similar to 1st inj.
28,11,98,1,5,F+T,WH2b,96,Re-run: Drew sample too soonÉleft on injection port >2 min
28,12,103,1,4,F+T,WH1,88,Re-run: Higher :)
28,13,108,3,3,F+T,OCM1,88,Re-run: Higher :)
28,14,111,1,6,F+T,WH2a,96,Re-run: Higher :)
28,15,113,2,2,F+T,DW1,96,Re-run: Higher :)
28,16,117,2,1,F+T,WH3,112,Re-run: Lock valve popped off at 2nd sample pullÉ3rd injected. Higher.
28,17,119,3,3,F+T,OCM1,112,Re-run: Higher :)
28,18,115,1,5,F+T,WH2b,112,Re-run: Higher :)
28,19,87,1,6,F+T,WH2a,48,Re-run: Higher :)
28,20,98,1,5,F+T,WH2b,72,Re-run: 2nd re-run due to injction error (3rd pull from vial)
28,21,120,1,7,L,N/A,0,
28,22,121,2,8,L,N/A,0,
28,23,122,3,8,L,N/A,0,
28,24,123,1,7,L,N/A,16,
28,25,124,2,8,L,N/A,16,
28,26,125,3,8,L,N/A,16,
28,27,126,1,7,L,N/A,24,
30,1,127,2,8,L,N/A,24,Machine re-start before injections (Analyzer stopped)
30,2,128,3,8,L,N/A,24,
30,3,129,1,7,L,N/A,40,
30,4,130,2,8,L,N/A,40,
30,5,131,3,8,L,N/A,40,[CO2] crept up to just above the detection limit (104 ppm)
30,6,132,1,7,L,N/A,48,
30,7,133,2,8,L,N/A,48,
30,8,134,3,8,L,N/A,48,
30,9,135,1,7,L,N/A,64,[CO2] just above the detection limit (108 ppm)
30,10,136,2,8,L,N/A,64,[CO2] just above the detection limit (101 ppm)
30,11,137,3,8,L,N/A,64,
30,12,138,1,7,L,N/A,72,
30,13,139,2,8,L,N/A,72,
30,14,140,3,8,L,N/A,72,Last sample before lunch (switched flow from sample loop to ambient)
30,15,141,1,7,L,N/A,88,"Unusually high CO2 (338 ppm)ÉRe-run, cleaned syringe first"
30,16,141,1,7,L,N/A,88,"Re-run: Just above detection (103 ppm), likely leak or dilution error before inj. "
30,17,142,2,8,L,N/A,88,
30,18,143,3,8,L,N/A,88,
30,19,144,1,7,L,N/A,96,Unusually high CO2 (367 ppm)ÉSYRINGE LOOSE (unscrewed above lock valve)
30,20,144,1,7,L,N/A,96,Re-run: Just above detection (100 ppm) 
30,21,145,2,8,L,N/A,96,
30,22,146,3,8,L,N/A,96,
30,23,147,1,7,L,N/A,112,"Lock valve popped off, 2nd pull still unusually high CO2 (154 ppm)"
30,24,147,1,7,L,N/A,112,Re-run: Just above detection (106 ppm) on 3rd pull 
30,25,148,2,8,L,N/A,112,
30,26,149,3,8,L,N/A,112,
30,27,150,1,8,F,N/A,0,
30,28,151,2,7,F,N/A,0,
30,29,152,3,7,F,N/A,0,
30,30,153,1,8,F,N/A,16,
31,1,154,2,7,F,N/A,16,
31,2,155,3,7,F,N/A,16,
31,3,156,1,8,F,N/A,24,
31,4,157,2,7,F,N/A,24,
31,5,158,3,7,F,N/A,24,
31,6,159,1,8,F,N/A,40,
31,7,160,2,7,F,N/A,40,
31,8,161,3,7,F,N/A,40,
31,9,162,1,8,F,N/A,48,
31,10,163,2,7,F,N/A,48,
31,11,164,3,7,F,N/A,48,
31,12,165,1,8,F,N/A,64,
31,13,166,2,7,F,N/A,64,[CO2] just above the detection limit (103 ppm)
31,14,167,3,7,F,N/A,64,"Unusually high CO2, SYRINGE LOOSE (unscrewed above lock valve), Re-run"
31,15,167,3,7,F,N/A,64,Re-run: Below detection limit (like all other FACE only samples)
31,16,168,1,8,F,N/A,72,
31,17,169,2,7,F,N/A,72,
31,18,170,3,7,F,N/A,72,
31,19,171,1,8,F,N/A,88,
31,20,172,2,7,F,N/A,88,
31,21,173,3,7,F,N/A,88,
31,22,174,1,8,F,N/A,96,
31,23,175,2,7,F,N/A,96,
31,24,176,3,7,F,N/A,96,
31,25,177,1,8,F,N/A,112,
31,26,178,2,7,F,N/A,112,
31,27,179,3,7,F,N/A,112,
31,28,60,3,6,L+T,OCM1,112,
